category,subcategory,title,description,url,tags
tools,illustrator,"Vector Diary","Tutoriais e dicas para Adobe Illustrator e design vetorial.",https://www.vectordiary.com/,"tutoriais,gratuito,vetores"
tools,illustrator,"Vecteezy","Recursos vetoriais gratuitos e premium que podem ser editados no Illustrator.",https://www.vecteezy.com/,"recursos,freemium,vetores"
tools,illustrator,"IllustratorHow","Tutoriais passo-a-passo para Adobe Illustrator, do básico ao avançado.",https://illustratorhow.com/,"tutoriais,aprendizado,técnicas"
tools,figma,"Figma","Ferramenta de design colaborativo baseada na web para UI/UX, prototipagem e sistemas de design.",https://www.figma.com/,"freemium,UI/UX,colaboração"
tools,figma,"Figma Community","Biblioteca de recursos, plugins e templates compartilhados pela comunidade Figma.",https://www.figma.com/community,"recursos,gratuito,templates"
tools,figma,"Figma for Beginners","Curso completo para iniciantes em Figma oferecido pela própria Figma.",https://help.figma.com/hc/en-us/categories/360002051633-Getting-Started,"tutorial,iniciante,gratuito"
tools,figma,"Figma UI Kits","Coleção de kits de UI de alta qualidade para acelerar seus projetos.",https://www.figmafreebies.com/,"recursos,UI kits,gratuito"
tools,3d,"Blender","Software de criação 3D open-source com ferramentas para modelagem, animação, texturização e renderização.",https://www.blender.org/,"gratuito,open-source,3D"
tools,3d,"Spline","Ferramenta de design 3D para web com foco em experiências interativas.",https://spline.design/,"freemium,web,3D interativo"
tools,3d,"Sketchfab","Plataforma para descobrir, compartilhar e vender modelos 3D.",https://sketchfab.com/,"marketplace,freemium,modelos"
tools,3d,"Cinema 4D","Software profissional para animação 3D, modelagem e renderização.",https://www.maxon.net/en/cinema-4d,"premium,profissional,animação"
tools,3d,"TurboSquid","Marketplace para modelos 3D prontos para uso.",https://www.turbosquid.com/,"marketplace,modelos,recursos"
3d,modeling,"Blender","Software gratuito e de código aberto para modelagem, animação, texturização, composição, renderização e edição de vídeo.",https://www.blender.org/,"gratuito,modelagem,animação"
3d,modeling,"Cinema 4D","Software profissional de modelagem 3D, animação e renderização popular na indústria criativa.",https://www.maxon.net/cinema-4d,"pago,modelagem,animação"
3d,modeling,"Maya","Software líder de mercado para criação de personagens, ambientes e efeitos visuais em filmes e jogos.",https://www.autodesk.com/products/maya/,"pago,modelagem,animação,personagens"
3d,rendering,"V-Ray","Motor de renderização fotorrealista usado em arquitetura, design e efeitos visuais.",https://www.chaosgroup.com/vray,"pago,renderização,fotorrealismo"
3d,rendering,"Octane Render","Motor de renderização baseado em GPU que oferece velocidade e qualidade excepcionais.",https://home.otoy.com/render/octane-render/,"pago,renderização,GPU"
3d,rendering,"Cycles","Motor de renderização físicamente correto integrado ao Blender.",https://docs.blender.org/manual/en/latest/render/cycles/,"gratuito,renderização,Blender"
3d,texturing,"Substance 3D","Suite de ferramentas para criação de texturas e materiais 3D fotorrealistas.",https://www.adobe.com/products/substance3d.html,"pago,texturas,materiais"
3d,texturing,"Quixel Megascans","Biblioteca de materiais e ativos 3D fotorrealistas para seus projetos.",https://quixel.com/megascans,"gratuito com Unreal,texturas,assets"
3d,texturing,"Poliigon","Texturas e materiais de alta qualidade para renderização 3D.",https://www.poliigon.com/,"pago,texturas,materiais"
ai,midjourney,"Midjourney","Gerador de imagens baseado em IA acessível via Discord, ideal para ilustrações e conceitos artísticos.",https://www.midjourney.com/,"imagens,arte,premium"
ai,midjourney,"Guia de Prompts Midjourney","Guia detalhado para criação de prompts eficazes no Midjourney.",https://docs.midjourney.com/docs/prompt-guide,"guia,prompts,tutorial"
ai,midjourney,"Midjourney Showcase","Galeria de imagens criadas com Midjourney para inspiração.",https://www.midjourney.com/showcase/,"galeria,inspiração,exemplos"
ai,dall-e,"DALL-E by OpenAI","Gerador de imagens da OpenAI capaz de criar imagens detalhadas a partir de descrições textuais.",https://openai.com/dall-e-3,"imagens,OpenAI,premium"
ai,dall-e,"DALL-E API","Documentação da API para integrar DALL-E em seus próprios aplicativos e workflows.",https://platform.openai.com/docs/guides/images,"API,integração,desenvolvimento"
ai,chatgpt,"ChatGPT","Assistente de IA conversacional da OpenAI para diversos usos, incluindo redação e ideação criativa.",https://chat.openai.com/,"texto,assistente,freemium"
ai,chatgpt,"Prompts para Designers","Coleção de prompts eficazes para designers usarem com ChatGPT.",https://www.designprompts.ai/,"prompts,design,criatividade"
ai,stable-diffusion,"Stable Diffusion","Modelo de geração de imagens open-source que pode ser executado localmente ou via serviços web.",https://stability.ai/,"open-source,imagens,local"
ai,stable-diffusion,"DreamStudio","Interface web para Stable Diffusion desenvolvida pela Stability AI.",https://dreamstudio.ai/,"interface,web,freemium"
ai,stable-diffusion,"Automatic1111 WebUI","Interface gráfica popular para executar Stable Diffusion localmente.",https://github.com/AUTOMATIC1111/stable-diffusion-webui,"open-source,local,instalação"
ai,ferramentas-design,"Galileo AI","Assistente de design baseado em IA que pode criar interfaces de usuário a partir de descrições.",https://www.usegalileo.ai/,"UI/UX,interfaces,protótipo"
ai,ferramentas-design,"Colormind","Gerador de paletas de cores que utiliza aprendizado profundo.",http://colormind.io/,"cores,paletas,gratuito"
ai,ferramentas-design,"Remove.bg","Remove automaticamente fundos de imagens usando IA.",https://www.remove.bg/,"edição,freemium,produtividade"
ai,ferramentas-design,"Runway ML","Suite de ferramentas de IA para criadores, incluindo edição de vídeo e geração de conteúdo.",https://runwayml.com/,"vídeo,edição,premium"
